yield_article_title,yield_paper_id,yield_data_source,match_method,match_score,matched_ghg_paper_id,matched_ghg_reference,matched_ghg_doi
Ammonium And Nitrate In Soil And Rice Yield As Affected By Cover Crops And Their Desiccation Time,6.0,Dataset Two,no_match_in_GHG_table,0.356,,,
Assessing The Impacts Of Cover Crops On Maize And Soybean Yield In The U.S. Midwestern Agroecosystems ,8.0,Dataset Two,no_match_in_GHG_table,0.437,,,
Biomass production of 12 winter cereal cover crop cultivars and their effect on subsequent no-till corn yield,15.0,Dataset Two,no_match_in_GHG_table,0.348,,,
Biomass Yield In Production Systems Of Soybean Sown In Succession To Annual Crops And Cover Crops,18.0,Dataset Two,no_match_in_GHG_table,0.414,,,
Brassica Cover Crop Effects On Nitrogen Availability And Oat And Corn Yield,20.0,Dataset Two,no_match_in_GHG_table,0.355,,,
Clover cover crops under-sown in winter wheat increase yield of subsequent spring barley—Effect of N dose and companion grass,24.0,Dataset Two,no_match_in_GHG_table,0.342,,,
Conservation agriculture effects on plant nutrients and maize grain yield after four years of maize–winter cover crop rotations,31.0,Dataset Two,no_match_in_GHG_table,0.385,,,
Corn And Soybean Grain Yield Responses To Soil Amendments And Cover Crop In Upland Soils,32.0,Dataset Two,no_match_in_GHG_table,0.353,,,
Cover Crop Diversity For Weed Suppression And Crop Yield In A Corn-Soybean Production System In Tennessee,44.0,Dataset Two,no_match_in_GHG_table,0.409,,,
Cover Crop Effect On Subsequent Wheat Yield In The Central Great Plains,46.0,Dataset Two,no_match_in_GHG_table,0.329,,,
"Cover Crop Nitrogen Availability To Conventional And No‐Till Corn: Soil Mineral Nitrogen, Corn Nitrogen Status, And Corn Yield",64.0,Dataset Two,no_match_in_GHG_table,0.33,,,
Cover Crop Effects On Corn Yield Response To Nitrogen On An Irrigated Sandy Soil,47.0,Dataset Two,no_match_in_GHG_table,0.396,,,
Cover Crop Effects On Crop Yields And Soil Organic Carbon Content,48.0,Dataset Two,no_match_in_GHG_table,0.369,,,
Cover Crop Grazing Impacts On Soil Properties And Crop Yields Under Irrigated No-Till Corn-Soybean Management,51.0,Dataset Two,no_match_in_GHG_table,0.425,,,
Cover Crop Increases Soybean Yield Cropped After Degraded Pasture In Sandy Soil,54.0,Dataset Two,no_match_in_GHG_table,0.33,,,
Cover Crop Interseeding Effects On Aboveground Biomass And Corn Grain Yield In Western North Dakota,55.0,Dataset Two,no_match_in_GHG_table,0.403,,,
Cover Crop Productivity And Subsequent Soybean Yield In The Western Corn Belt,65.0,Dataset Two,no_match_in_GHG_table,0.329,,,
"Cover Crop Rotation Effects On Growth And Development, Seedling Disease, And Yield Of Corn And Soybean",67.0,Dataset Two,no_match_in_GHG_table,0.45,,,
Cover Crop Rotations In No-Till System: Short-Term Co2 Emissions And Soybean Yield,68.0,Dataset Two,no_match_in_GHG_table,0.409,,,
"Cover Crop, Tillage, And Herbicide Effects On Weeds, Soil Properties, Microbial Populations, And Soybean Yield",75.0,Dataset Two,no_match_in_GHG_table,0.379,,,
"Cover Crops Affect Soybean Yield Components, But Not Grain Quality",77.0,Dataset Two,no_match_in_GHG_table,0.336,,,
Cover Crops And Herbicide Timing Management On Soybean Yield Under No-Tillage System,79.0,Dataset Two,no_match_in_GHG_table,0.357,,,
"Cover Crops And Returning Residue Impact On Soil Organic Carbon, Bulk Density, Penetration Resistance, Water Retention, Infiltration, And Soybean Yield",84.0,Dataset Two,no_match_in_GHG_table,0.369,,,
"Cover Crops For Resilience Of A Limited-Irrigation Winter Wheat-Sorghum-Fallow Rotation: Soil Carbon, Nitrogen, And Sorghum Yield Responses",94.0,Dataset Two,no_match_in_GHG_table,0.343,,,
"Driving Crop Yield, Soil Organic C Pools, And Soil Biodiversity With Selected Winter Cover Crops Under No-Till",115.0,Dataset Two,no_match_in_GHG_table,0.369,,,
Cover Crops Impact Crops Yields By Improving Microbiological Activity And Fertility In Sandy Soil,95.0,Dataset Two,no_match_in_GHG_table,0.33,,,
Effect Of Hairy Vetch Cover Crop On Maize Nitrogen Supply And Productivity At Varying Yield Environments In Southern Brazil,132.0,Dataset Two,no_match_in_GHG_table,0.397,,,
Effect Of Multispecies Cover Crop Mixture On Soil Properties And Crop Yield,134.0,Dataset Two,no_match_in_GHG_table,0.354,,,
"Effect Of Planting Into A Green Winter Cereal Rye Cover Crop On Growth And Development, Seedling Disease, And Yield Of Corn",139.0,Dataset Two,no_match_in_GHG_table,0.378,,,
Effect Of Winter Cover Crop Species And Planting Methods On Maize Yield And N Availability Under Irrigated Mediterranean Conditions,147.0,Dataset Two,no_match_in_GHG_table,0.328,,,
"Effects Of Cereal And Legume Cover Crop Residues On Weeds, Yield, And Net Return In Soybean (Glycine Max)",151.0,Dataset Two,no_match_in_GHG_table,0.371,,,
Effects Of Cover Crops On Soil Mineral Nitrogen And On The Yield And Nitrogen Content Of Maize,156.0,Dataset Two,no_match_in_GHG_table,0.404,,,
"Effects Of Hairy Vetch (Vicia Villosa) Cover Crop And Banded Herbicides On Weeds, Grain Yield, And Economic Returns In Corn (Zea Mays)",161.0,Dataset Two,no_match_in_GHG_table,0.373,,,
"Effects Of Winter Cover Crops On Rice Pests, Natural Enemies, And Grain Yield In A Rice Rotation System",170.0,Dataset Two,no_match_in_GHG_table,0.37,,,
Influence Of Cover Crops On Soybean Yield And Partial Returns As An Alternative To Double-Crop Soybean In Arkansas,214.0,Dataset Two,no_match_in_GHG_table,0.377,,,
"Legume-Based Cover Crop Mixtures Can Overcome Trade-Offs Between C Inputs, Soil Mineral N Depletion And Residual Yield Effects",235.0,Dataset Two,no_match_in_GHG_table,0.351,,,
Leguminous Cover Crop Astragalus Sinicus Enhances Grain Yields And Nitrogen Use Efficiency Through Increased Tillering In An Intensive Double-Cropping Rice System In Southern China,236.0,Dataset Two,no_match_in_GHG_table,0.377,,,
Long-Term Corn Yield Impacted By Cropping Rotations And Bio-Covers Under No-Tillage,241.0,Dataset Two,no_match_in_GHG_table,0.381,,,
Long-Term Fertilizer Application And Cover Crops Improve Soil Quality And Soybean Yield In The Northeastern Pampas Region Of Argentina,242.0,Dataset Two,no_match_in_GHG_table,0.391,,,
Nitrogen Content Of Pea‐Based Cover Crop Mixtures And Subsequent Organic Corn Yield,261.0,Dataset Two,no_match_in_GHG_table,0.369,,,
"Nitrogen Cycling, Profit Margins And Sweet Corn Yield Under Fall Cover Crop Systems",262.0,Dataset Two,no_match_in_GHG_table,0.359,,,
Nitrogen Dynamics And Yields Of Fresh Bean And Sweet Corn With Different Cover Crops And Planting Dates,263.0,Dataset Two,no_match_in_GHG_table,0.353,,,
"Nitrogen Release From Decomposing Residues Of Leguminous Cover Crops And Their Effect On Maize Yield On Depleted Soils Of Bukoba District, Tanzania",264.0,Dataset Two,no_match_in_GHG_table,0.395,,,
"Non-Leguminous Winter Cover Crop And Nitrogen Rate In Relation To Double Rice Grain Yield And Nitrogen Uptake In Dongting Lake Plain, Hunan Province, China",269.0,Dataset Two,no_match_in_GHG_table,0.37,,,
